id,nivel,tipo,seccion,area_m2,L_m,volumen_m3,pp_m_unit_kN_m,pp_potencial_kN,material_conocido,material_pendiente,motivo,estado,decision,documentos_revisados
COL_EI_CP4_C_I2_38.87,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_Ip2_43.95,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_E3_0.74,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_F3_9.24,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_G3_20.73,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_H3_29.21,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_I3_40.37,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_Ip3_44.52,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,CP1S,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,16.951,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,CP1S,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,4.479,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,CP1S,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,4.479,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,CP1S,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,2.35,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,CP1S,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,2.35,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P1,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,16.15,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P1,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,17.08,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P1,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,6.1,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P1,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,3.05,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P2,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,1.679,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P2,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,1.679,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P3,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,1.479,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P3,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,1.479,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P4,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,6.8,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P4,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,2.15,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P4,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,2.15,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P4,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,1.578,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P4,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,1.578,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
,P4,muro (1 sola planta documentada),sin seccion/espesor/cotas confirmados,,3.45,,,,presumible concreto (M.H.A.),espesor + cotas + niveles reales,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coinciden entre niveles consecutivos,PENDIENTE_TRAMO,ADOPTADA_PARCIAL: confirmar panel solo si coincidencia plena (linea+espesor+posicion+geometria+niveles consecutivos) P2->P3->P4; muro de un solo plano NO se vuelve tramo continuo automaticamente; cajas P4 M_CP4_001..006 mantienen PENDIENTE_TRAMO,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
V_EI_CP1S_x1010_0.700-16.150,CP1S,no viga (muro e=30 eje F),M.H.A. e=30,,15.4502,,,,muro M.H.A. e=30,-,seccion de muro (M.H.A. e=30) en lista de vigas: no es viga,NO_INCLUIDA,ADOPTADA: V_EI_CP1S_x1010 = muro eje F (no viga adicional); no-duplicacion con M_EI_CP1S_003 verificada (masa no sumada dos veces),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
hyp_base_columnas,P1..base,hipotesis FE base->nivel (columnas),P. 70x70 (FE),,,,,,hormigon,cimentacion no documentada,hipotesis FE base->nivel (z=-4.01); cimentacion no documentada,PENDIENTE_HIPOTESIS_FE,ADOPTADA: sin tramos sinteticos BASE->nivel; solo extremos reales,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
hyp_base_muros,CP1S..base,hipotesis FE base->nivel (muros),segun FE,,,,,,concreto,cimentacion no documentada,hipotesis FE base->nivel; fuera del total confirmado,PENDIENTE_HIPOTESIS_FE,ADOPTADA: sin tramos sinteticos BASE->nivel; solo extremos reales,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
M_EI_CP1S_001,sotano (-7.01),muro de contencion del sotano,e=0.2 m (panel 25.25 m),5.050000000000001,,,,,concreto,h real del sotano (hipotesis h=3.0 m),desciende a cimentacion por hipotesis h_sotano=3.0 m; fuera del total confirmado,HIPOTESIS_CIMENTACION,HIPOTESIS_CIMENTACION,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
M_EI_CP1S_002,sotano (-7.01),muro de contencion del sotano,e=0.3 m (panel 8.30 m),2.4896999999999996,,,,,concreto,h real del sotano (hipotesis h=3.0 m),desciende a cimentacion por hipotesis h_sotano=3.0 m; fuera del total confirmado,HIPOTESIS_CIMENTACION,HIPOTESIS_CIMENTACION,"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
